T/Tc,y_vortex,retro_corr,rho_frag,S_topo,lambda(t)
0.5,0.017344620240296267,0.0,0.00021272307046418286,-9.999994999180668e-07,0.25000025
0.5703517587939698,0.045000088228885265,0.0015085999005531921,0.001265247926475439,-0.0015084616000648778,0.2503773999751383
0.6407035175879396,0.11546251689845684,0.0044227442252322445,0.007130981213895833,-0.004413988230183159,0.25110593605630804
0.7110552763819095,0.1800143556361349,0.011752127122166023,0.014208045164425632,-0.011684595574266245,0.2529382817805415
0.7814070351758794,0.404797895937174,0.02534038974644147,0.055165163020899674,-0.025025620304407317,0.25633534743661035
0.8517587939698492,0.44344253512153253,0.0535938992739231,0.04537656921349415,-0.052208030199379266,0.26339872481848076
0.922110552763819,0.7358276116808871,0.10073442409858265,0.06607947987340876,-0.09597852377507626,0.2751838560246456
0.9924623115577891,1.1357944534724167,0.1692003934008205,0.015273810546982859,-0.15632094600999147,0.2923003483502051
1.0628140703517588,0.9619810941313759,0.26076837005418296,-0.09116014077194087,-0.2317221457703625,0.3151923425135457
1.1331658291457287,0.9693578238567541,0.3369031373993251,-0.1951233335147553,-0.29035659577313244,0.3342260343498313
