T/Tc,rho_frag,J(T),epsilon_KAM,N_lapse
0.3,0.48999999999999994,0.692760452783325,1.4414197234622708,0.7
0.3707070707070707,0.3910352703020918,0.6227846494718781,1.6031173592467232,0.6253281301061802
0.4414141414141414,0.2964394433682693,0.552808846160431,1.805677187955776,0.5444625270560586
0.5121212121212121,0.21156569021656818,0.48283304284898415,2.066828660795133,0.45996270524529287
0.5828282828282829,0.14014298801838085,0.41285723953753706,2.4162921521378857,0.3743567656906722
0.6535353535353534,0.08420346807852368,0.3428814362260903,2.9079790144372146,0.2901783384033406
0.7242424242424242,0.044108827072167976,0.2729056329146432,3.6508924236385765,0.2100210157869159
0.7949494949494949,0.018671095846210958,0.20292982960319633,4.903647504368465,0.1366422183887943
0.8656565656565658,0.005358865951619064,0.13295402629174913,7.465247799435461,0.07320427550095052
0.9363636363636363,0.0005763162872223957,0.06297822298030235,15.630318464892039,0.024006588412816922
